"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Date Local","Time Local","Date GMT","Time GMT","Sample Measurement","Units of Measure","MDL","Uncertainty","Qualifier","Method Type","Method Code","Method Name","State Name","County Name","Date of Last Change"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-01","20:00","2016-01-02","02:00",0.2,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-01","21:00","2016-01-02","03:00",0.2,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-01","22:00","2016-01-02","04:00",0.2,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-01","23:00","2016-01-02","05:00",0.2,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","00:00","2016-01-02","06:00",0.1,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","03:00","2016-01-02","09:00",1.4000000000000001,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","04:00","2016-01-02","10:00",0.8,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","05:00","2016-01-02","11:00",0.5,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","06:00","2016-01-02","12:00",0.4,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","07:00","2016-01-02","13:00",0.5,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","08:00","2016-01-02","14:00",0.8,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","09:00","2016-01-02","15:00",1,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","10:00","2016-01-02","16:00",1,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","11:00","2016-01-02","17:00",1,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","12:00","2016-01-02","18:00",0.9,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","13:00","2016-01-02","19:00",0.9,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","14:00","2016-01-02","20:00",1,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
"01","073","0023","42401",2,33.553056,-86.815,"WGS84","Sulfur dioxide","2016-01-02","15:00","2016-01-02","21:00",0.9,"Parts per billion",0.2,"","","FEM","560","INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE","Alabama","Jefferson","2016-02-08"
